ANDAR,CORREDOR,SKU,PECAS
0,22,SKU_18030,226
0,22,SKU_17194,208
0,22,SKU_17109,252
0,22,SKU_17110,126
0,22,SKU_17915,2
0,22,SKU_17264,43
0,22,SKU_14008,5
0,22,SKU_19519,52
0,22,SKU_19307,25
0,23,SKU_1701,3
0,23,SKU_13139,62
0,23,SKU_19207,1000
0,23,SKU_59,24
0,23,SKU_3137,39
0,23,SKU_17160,114
0,23,SKU_778,123
0,23,SKU_781,86
0,23,SKU_17238,76
0,23,SKU_17304,57
0,23,SKU_3452,92
0,23,SKU_822,30
0,23,SKU_824,83
0,23,SKU_20027,112
0,24,SKU_17046,146
0,24,SKU_18074,1
0,24,SKU_17134,1
0,24,SKU_17026,418
0,24,SKU_20272,87
0,24,SKU_17148,345
0,24,SKU_17028,350
0,24,SKU_107,1
0,24,SKU_17090,172
0,24,SKU_17071,75
0,24,SKU_17035,132
0,24,SKU_17037,13
0,24,SKU_18030,222
0,24,SKU_18137,68
0,24,SKU_13955,2
0,24,SKU_17194,53
0,24,SKU_17219,39
0,24,SKU_17110,464
0,24,SKU_17264,1
0,24,SKU_652,137
0,24,SKU_19519,288
0,24,SKU_17116,18
0,24,SKU_5018,10
0,25,SKU_19335,176
0,25,SKU_19452,15
0,25,SKU_19422,43
0,25,SKU_13156,124
0,25,SKU_490,41
0,25,SKU_491,51
0,25,SKU_193,65
0,25,SKU_19563,34
0,25,SKU_627,310
0,25,SKU_19222,1
0,25,SKU_13281,1
0,25,SKU_1413,1
0,25,SKU_17537,92
0,25,SKU_19207,454
0,25,SKU_59,152
0,25,SKU_61,75
0,25,SKU_62,112
0,25,SKU_64,89
0,25,SKU_861,275
0,25,SKU_741,156
0,25,SKU_3135,42
0,25,SKU_3136,48
0,25,SKU_3137,90
0,25,SKU_14027,164
0,25,SKU_13055,132
0,25,SKU_19592,1
0,25,SKU_778,95
0,25,SKU_781,50
0,25,SKU_782,27
0,25,SKU_97,38
0,25,SKU_5260,80
0,25,SKU_995,62
0,25,SKU_13008,54
0,25,SKU_13009,37
0,25,SKU_13011,81
0,25,SKU_17238,122
0,25,SKU_17239,300
0,25,SKU_17304,51
0,25,SKU_17305,102
0,25,SKU_3452,140
0,25,SKU_824,55
0,25,SKU_867,55
0,25,SKU_10279,49
0,25,SKU_20027,56
0,26,SKU_13065,50
0,26,SKU_17045,1
0,26,SKU_17046,51
0,26,SKU_18074,59
0,26,SKU_17025,86
0,26,SKU_20272,7
0,26,SKU_17148,2
0,26,SKU_17028,13
0,26,SKU_17090,53
0,26,SKU_17035,102
0,26,SKU_17037,53
0,26,SKU_17110,2
0,26,SKU_209,2
0,26,SKU_17116,200
0,27,SKU_19422,2
0,27,SKU_490,159
0,27,SKU_491,216
0,27,SKU_19431,95
0,27,SKU_440,41
0,27,SKU_627,97
0,27,SKU_19222,52
0,27,SKU_13281,1
0,27,SKU_3033,25
0,27,SKU_3034,51
0,27,SKU_60,34
0,27,SKU_61,1
0,27,SKU_744,2
0,27,SKU_3136,97
0,27,SKU_13055,205
0,27,SKU_19718,20
0,27,SKU_19723,33
0,27,SKU_17095,41
0,27,SKU_778,57
0,27,SKU_782,52
0,27,SKU_5268,46
0,27,SKU_5261,61
0,27,SKU_959,37
0,27,SKU_11097,1
0,27,SKU_13009,42
0,27,SKU_13011,36
0,27,SKU_17305,109
0,27,SKU_3458,75
0,27,SKU_3533,38
0,27,SKU_3544,46
0,27,SKU_10279,67
0,27,SKU_10256,51
0,28,SKU_17045,2
0,28,SKU_17046,76
0,28,SKU_17025,72
0,28,SKU_17026,611
0,28,SKU_20272,222
0,28,SKU_17027,6
0,28,SKU_17028,63
0,28,SKU_17037,135
0,28,SKU_18137,243
0,28,SKU_17109,42
0,28,SKU_21538,1
0,28,SKU_19519,236
0,28,SKU_17116,15
0,28,SKU_11130,6
0,28,SKU_5562,32
0,29,SKU_19418,26
0,29,SKU_19422,72
0,29,SKU_20311,146
0,29,SKU_284,52
0,29,SKU_490,3
0,29,SKU_491,75
0,29,SKU_263,61
0,29,SKU_19431,149
0,29,SKU_20349,166
0,29,SKU_19474,90
0,29,SKU_19610,77
0,29,SKU_20515,5
0,29,SKU_19207,66
0,29,SKU_59,9
0,29,SKU_60,74
0,29,SKU_61,102
0,29,SKU_64,70
0,29,SKU_741,91
0,29,SKU_3135,21
0,29,SKU_3136,81
0,29,SKU_3137,3
0,29,SKU_13056,373
0,29,SKU_13057,2
0,29,SKU_13059,103
0,29,SKU_17160,292
0,29,SKU_17095,32
0,29,SKU_11068,3
0,29,SKU_11069,2
0,29,SKU_2540,71
0,29,SKU_778,113
0,29,SKU_779,52
0,29,SKU_781,126
0,29,SKU_782,139
0,29,SKU_97,84
0,29,SKU_98,113
0,29,SKU_5259,32
0,29,SKU_5260,16
0,29,SKU_5262,84
0,29,SKU_950,58
0,29,SKU_959,48
0,29,SKU_908,29
0,29,SKU_909,10
0,29,SKU_13008,101
0,29,SKU_13009,91
0,29,SKU_13011,171
0,29,SKU_15258,62
0,29,SKU_3537,28
0,29,SKU_850,146
0,29,SKU_19979,104
0,29,SKU_20196,39
0,30,SKU_17045,46
0,30,SKU_17046,442
0,30,SKU_19454,82
0,30,SKU_17025,19
0,30,SKU_17026,71
0,30,SKU_20272,127
0,30,SKU_17028,617
0,30,SKU_17030,57
0,30,SKU_1502,1
0,30,SKU_17090,24
0,30,SKU_17071,422
0,30,SKU_17035,1
0,30,SKU_17036,96
0,30,SKU_17093,398
0,30,SKU_18030,132
0,30,SKU_17109,22
0,30,SKU_17219,350
0,30,SKU_17248,175
0,30,SKU_17110,146
0,30,SKU_19431,16
0,30,SKU_20663,80
0,30,SKU_17172,14
0,31,SKU_19450,1
0,31,SKU_19422,133
0,31,SKU_20311,129
0,31,SKU_284,1
0,31,SKU_193,306
0,31,SKU_13859,53
0,31,SKU_15931,2
0,31,SKU_19610,622
0,31,SKU_20041,45
0,31,SKU_20515,18
0,31,SKU_17505,119
0,31,SKU_63,39
0,31,SKU_64,9
0,31,SKU_538,109
0,31,SKU_741,87
0,31,SKU_742,152
0,31,SKU_20585,1
0,31,SKU_13058,53
0,31,SKU_13059,19
0,31,SKU_15,23
0,31,SKU_17095,69
0,31,SKU_17748,134
