sku,floor,corridor,stock_available,stock_used,stock_remaining
SKU_17109,0,106,7,0,7
SKU_17109,0,38,1,0,1
SKU_17109,0,40,1,0,1
SKU_17109,0,42,1,0,1
SKU_17109,0,62,1,0,1
SKU_17109,0,86,1,0,1
SKU_17109,0,120,1,0,1
SKU_17109,0,160,1,0,1
SKU_17109,1,86,1,0,1
SKU_468,0,105,155,4,151
SKU_468,0,101,89,0,89
SKU_468,0,111,72,0,72
SKU_468,0,109,45,0,45
SKU_468,0,4,16,0,16
SKU_468,1,141,2,0,2
SKU_19222,0,100,76,5,71
SKU_19222,0,95,54,0,54
SKU_19222,0,27,52,0,52
SKU_19222,0,4,46,0,46
SKU_19222,0,85,37,0,37
SKU_19222,0,91,13,0,13
SKU_19222,0,25,1,0,1
SKU_19222,0,40,1,0,1
SKU_19222,0,86,1,0,1
SKU_19222,0,87,1,0,1
SKU_754,0,143,120,1,119
SKU_754,1,111,117,0,117
SKU_754,0,125,109,0,109
SKU_754,1,117,94,0,94
SKU_754,0,127,57,0,57
SKU_754,1,115,53,0,53
SKU_754,0,145,40,0,40
SKU_754,0,149,12,0,12
SKU_754,0,4,10,0,10
SKU_754,0,137,1,0,1
SKU_13259,0,137,228,46,182
SKU_13259,0,135,78,0,78
SKU_13259,0,131,51,0,51
SKU_13259,0,136,44,0,44
SKU_13259,0,4,36,0,36
SKU_13259,0,6,7,0,7
SKU_2775,0,4,89,3,86
SKU_17279,0,4,76,4,72
SKU_17279,0,139,39,0,39
SKU_64,0,25,89,35,54
SKU_64,0,29,70,0,70
SKU_64,0,17,40,0,40
SKU_64,0,4,19,0,19
SKU_64,0,31,9,0,9
SKU_784,0,53,282,76,206
SKU_784,0,55,145,0,145
SKU_784,0,4,33,0,33
SKU_784,0,159,1,0,1
SKU_17521,0,93,178,23,155
SKU_17521,0,4,41,0,41
SKU_17521,0,95,1,0,1
SKU_3594,0,117,48,13,35
SKU_3594,0,151,37,0,37
SKU_3594,0,4,28,0,28
SKU_19345,0,93,333,1,332
SKU_19345,0,89,194,0,194
SKU_19345,0,79,145,0,145
SKU_19345,0,73,133,0,133
SKU_19345,0,118,52,0,52
SKU_19345,0,71,47,0,47
SKU_19345,0,57,43,0,43
SKU_19345,0,5,29,0,29
SKU_19345,0,81,19,0,19
SKU_19345,0,110,15,0,15
SKU_19379,0,7,158,27,131
SKU_19379,0,5,2,0,2
SKU_15210,0,5,242,1,241
SKU_15210,0,11,40,0,40
SKU_15210,0,9,32,0,32
SKU_3030,0,5,64,5,59
SKU_3031,0,5,71,4,67
SKU_21539,0,5,1,1,0
SKU_21539,0,145,1,1,0
SKU_20414,0,5,200,41,159
SKU_20414,0,7,131,0,131
SKU_13836,0,102,132,59,73
SKU_13836,0,5,94,0,94
SKU_13836,2,165,74,0,74
SKU_13836,0,48,55,0,55
SKU_9211,0,5,4,4,0
SKU_9213,0,5,3,1,2
SKU_907,0,7,264,41,223
SKU_907,0,11,63,0,63
SKU_907,0,5,58,0,58
SKU_907,0,163,1,0,1
SKU_17237,0,19,135,24,111
SKU_17237,0,5,71,0,71
SKU_17306,0,13,136,33,103
SKU_17306,0,5,127,0,127
SKU_17306,0,11,52,0,52
SKU_866,0,5,162,25,137
SKU_866,0,7,57,0,57
SKU_866,0,9,41,0,41
SKU_888,0,13,311,56,255
SKU_888,0,5,155,0,155
SKU_3545,0,9,80,32,48
SKU_3545,0,11,71,0,71
SKU_3545,0,5,38,0,38
SKU_3545,2,157,37,0,37
SKU_3545,2,167,37,0,37
SKU_3545,0,13,36,0,36
SKU_3545,0,15,32,0,32
SKU_3545,0,163,2,0,2
SKU_3545,0,165,1,0,1
SKU_3546,0,15,129,32,97
SKU_3546,0,13,93,0,93
SKU_3546,0,5,53,0,53
SKU_3546,0,11,46,0,46
SKU_849,0,7,136,42,94
SKU_849,0,5,60,0,60
SKU_849,0,13,59,0,59
SKU_849,0,9,58,0,58
SKU_849,0,15,41,0,41
SKU_849,0,11,22,0,22
SKU_849,0,161,1,0,1
SKU_19752,0,21,139,21,118
SKU_19752,0,19,78,0,78
SKU_19752,0,5,34,0,34
SKU_19334,0,153,279,2,277
SKU_19334,0,155,167,0,167
SKU_19334,0,6,93,0,93
SKU_19334,0,87,39,0,39
SKU_19334,0,145,3,0,3
SKU_19334,0,143,1,0,1
SKU_19334,1,167,1,0,1
SKU_17025,0,8,203,3,200
SKU_17025,0,44,145,0,145
SKU_17025,0,10,142,0,142
SKU_17025,0,42,129,0,129
SKU_17025,0,26,86,0,86
SKU_17025,0,12,84,0,84
SKU_17025,0,28,72,0,72
SKU_17025,0,50,63,0,63
SKU_17025,0,46,61,0,61
SKU_17025,0,154,43,0,43
SKU_17025,0,16,37,0,37
SKU_17025,0,62,30,0,30
SKU_17025,0,30,19,0,19
SKU_17025,0,6,3,0,3
SKU_17025,0,164,2,0,2
SKU_17025,0,98,1,0,1
SKU_17025,0,156,1,0,1
SKU_17025,0,158,1,0,1
SKU_17025,0,160,1,0,1
SKU_17025,0,162,1,0,1
SKU_17025,1,166,1,0,1
SKU_17093,0,40,1096,6,1090
SKU_17093,0,30,398,0,398
SKU_17093,0,42,317,0,317
SKU_17093,0,34,240,0,240
SKU_17093,0,32,147,0,147
SKU_17093,0,22,144,0,144
SKU_17093,0,50,143,0,143
SKU_17093,0,54,106,0,106
SKU_17093,0,20,57,0,57
SKU_17093,0,36,52,0,52
SKU_17093,0,6,35,0,35
SKU_17093,0,102,2,0,2
SKU_17093,0,52,1,0,1
SKU_17093,0,158,1,0,1
SKU_87,0,139,382,117,265
SKU_87,0,143,161,0,161
SKU_87,0,6,76,0,76
SKU_87,0,137,59,0,59
SKU_87,0,135,58,0,58
SKU_20587,0,6,108,26,82
SKU_20587,0,12,69,0,69
SKU_20587,0,8,28,0,28
SKU_20587,0,14,10,0,10
SKU_20587,0,16,10,0,10
SKU_5260,0,25,80,12,68
SKU_5260,0,35,26,0,26
SKU_5260,0,29,16,0,16
SKU_5260,0,31,2,0,2
SKU_5260,0,6,1,0,1
SKU_950,0,29,58,8,50
SKU_950,0,31,28,0,28
SKU_950,0,37,15,0,15
SKU_950,0,6,1,0,1
SKU_791,0,55,230,62,168
SKU_791,0,49,144,0,144
SKU_791,0,57,122,0,122
SKU_791,0,159,3,0,3
SKU_791,0,6,1,0,1
SKU_838,0,61,277,46,231
SKU_838,0,65,43,0,43
SKU_838,0,6,1,0,1
SKU_17681,0,47,70,6,64
SKU_17681,0,6,1,0,1
SKU_19332,2,165,59,3,56
SKU_19332,2,153,44,0,44
SKU_19332,0,7,41,0,41
SKU_19332,2,163,35,0,35
SKU_19332,0,47,33,0,33
SKU_19332,2,149,30,0,30
SKU_19332,0,41,21,0,21
SKU_19332,2,151,16,0,16
SKU_491,0,27,216,2,214
SKU_491,0,29,75,0,75
SKU_491,0,37,74,0,74
SKU_491,0,25,51,0,51
SKU_491,0,7,14,0,14
SKU_491,2,58,1,0,1
SKU_19475,0,67,75,2,73
SKU_19475,0,63,64,0,64
SKU_19475,0,7,22,0,22
SKU_19565,0,7,82,7,75
SKU_652,0,24,137,2,135
SKU_652,0,7,64,0,64
SKU_652,2,93,62,0,62
SKU_21540,0,7,1,1,0
SKU_71,0,9,78,26,52
SKU_71,0,11,63,0,63
SKU_71,0,15,31,0,31
SKU_71,0,7,25,0,25
SKU_71,0,163,1,0,1
SKU_3026,0,7,149,25,124
SKU_3026,0,9,32,0,32
SKU_3026,0,15,18,0,18
SKU_3026,0,11,1,0,1
SKU_538,0,33,302,3,299
SKU_538,0,7,204,0,204
SKU_538,0,158,172,0,172
SKU_538,0,31,109,0,109
SKU_538,2,129,92,0,92
SKU_538,2,123,87,0,87
SKU_538,0,160,38,0,38
SKU_538,1,97,11,0,11
SKU_538,1,79,3,0,3
SKU_538,0,9,1,0,1
SKU_17273,0,7,159,25,134
SKU_17273,0,13,45,0,45
SKU_14,0,15,197,29,168
SKU_14,2,151,80,0,80
SKU_14,0,7,74,0,74
SKU_14,2,149,65,0,65
SKU_17274,0,11,45,7,38
SKU_17274,0,7,30,0,30
SKU_17277,0,15,40,9,31
SKU_17277,0,7,34,0,34
SKU_17190,0,11,300,45,255
SKU_17190,0,7,48,0,48
SKU_2024,0,97,146,3,143
SKU_2024,0,99,70,0,70
SKU_2024,0,95,44,0,44
SKU_2024,0,7,19,0,19
SKU_21991,0,7,91,3,88
SKU_21991,0,9,17,0,17
SKU_17688,0,7,48,4,44
SKU_17688,0,15,37,0,37
SKU_19368,0,10,644,6,638
SKU_19368,0,14,254,0,254
SKU_19368,0,8,148,0,148
SKU_19368,0,12,67,0,67
SKU_19368,0,34,54,0,54
SKU_19368,0,46,1,0,1
SKU_19368,0,114,1,0,1
SKU_17067,0,56,166,2,164
