         6515894713 function calls (6356657814 primitive calls) in 1951.075 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 20409911    6.789    0.000   25.061    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:7688(maybe_extract_name)
  8147300    3.048    0.000   24.910    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:6415(_is_comparable_dtype)
 12182944    8.273    0.000   24.559    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:5170(_get_engine_target)
  4035652    9.230    0.000   24.056    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:842(_engine)
 12173861    8.656    0.000   22.477    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/internals/base.py:82(shape)
  4064692   11.219    0.000   22.264    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexers/utils.py:239(maybe_convert_indices)
 12434702    6.504    0.000   22.225    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/series.py:784(name)
  8252356    7.122    0.000   21.897    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/dtypes/common.py:1081(is_numeric_dtype)
 12097631    5.760    0.000   20.311    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexing.py:974(_is_nested_tuple_indexer)
  8147300    5.193    0.000   20.308    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:6324(_maybe_downcast_for_indexing)
 12097634    5.265    0.000   19.612    0.000 /opt/homebrew/Cellar/python@3.12/3.12.6/Frameworks/Python.framework/Versions/3.12/lib/python3.12/warnings.py:168(simplefilter)
 12076620   10.592    0.000   18.448    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexing.py:1652(_is_scalar_access)
 44649648   14.291    0.000   18.283    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/generic.py:586(_get_axis)
  8111115    3.058    0.000   17.532    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/frame.py:659(_constructor_from_mgr)
 16374220   16.966    0.000   16.966    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  8051088    1.857    0.000   16.429    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/series.py:789(values)
 12256637    7.234    0.000   15.976    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/_config/config.py:127(_get_single_key)
 12281667    3.281    0.000   15.734    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:236(set_axis)
 12436776    4.272    0.000   15.724    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/dtypes/common.py:1571(validate_all_hashable)
24559582/24559580    6.581    0.000   15.481    0.000 {built-in method builtins.all}
 12197750    6.017    0.000   14.919    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/series.py:1471(_set_as_cached)
 28423107    7.510    0.000   14.782    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:180(blknos)
 12260654    7.912    0.000   14.685    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/internals/blocks.py:2716(new_block)
  4073650    5.149    0.000   14.636    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:6219(_raise_if_missing)
  8051088    3.932    0.000   14.573    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:2000(external_values)
 12097639   14.535    0.000   14.535    0.000 {built-in method numpy.array}
 36602465    6.465    0.000   14.006    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/series.py:831(_values)
 49163329    8.933    0.000   13.946    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/dtypes/inference.py:334(is_hashable)
 36500572    4.926    0.000   13.820    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/internals/base.py:84(<genexpr>)
 12118647    7.691    0.000   13.705    0.000 /opt/homebrew/Cellar/python@3.12/3.12.6/Frameworks/Python.framework/Versions/3.12/lib/python3.12/warnings.py:184(_add_filter)
